"uniqRowID","improved"
"0019bbc70f71e4620273237a1e99bfde_1_1","0"
"0019bbc70f71e4620273237a1e99bfde_2_1","0"
"00e96ba3612eb828cbb6511fe2e899f3_7_2","0"
"01ce9bb3e240242c13adf7e95f09b865_2_11","0"
"01ce9bb3e240242c13adf7e95f09b865_2_8","0"
"01ce9bb3e240242c13adf7e95f09b865_4_16","0"
"01ce9bb3e240242c13adf7e95f09b865_4_19","0"
"022c90700569a3674e703860b70614b2_5_1","0"
"02690b095cb73fd9d47fde5671eb5d22_2_7","0"
"02690b095cb73fd9d47fde5671eb5d22_2_9","0"
"02c78549a70435837a6b4d35a1e6fadd_1_2","0"
"02c78549a70435837a6b4d35a1e6fadd_14_1","1"
"02c78549a70435837a6b4d35a1e6fadd_7_1","0"
"036229fe75b61a8310e112b2ca147c2e_11_1","0"
"036229fe75b61a8310e112b2ca147c2e_14_2","1"
"036229fe75b61a8310e112b2ca147c2e_14_3","0"
"036229fe75b61a8310e112b2ca147c2e_14_4","0"
"036229fe75b61a8310e112b2ca147c2e_14_6","0"
"036229fe75b61a8310e112b2ca147c2e_2_1","0"
"036229fe75b61a8310e112b2ca147c2e_4_2","0"
"036229fe75b61a8310e112b2ca147c2e_4_3","0"
"036229fe75b61a8310e112b2ca147c2e_4_6","0"
"036229fe75b61a8310e112b2ca147c2e_4_7","1"
"036229fe75b61a8310e112b2ca147c2e_4_8","0"
"036229fe75b61a8310e112b2ca147c2e_5_2","0"
"036229fe75b61a8310e112b2ca147c2e_5_3","1"
"036229fe75b61a8310e112b2ca147c2e_5_4","0"
"036229fe75b61a8310e112b2ca147c2e_5_7","0"
"036229fe75b61a8310e112b2ca147c2e_7_1","0"
"036229fe75b61a8310e112b2ca147c2e_7_2","0"
"036229fe75b61a8310e112b2ca147c2e_7_3","1"
"036229fe75b61a8310e112b2ca147c2e_7_4","0"
"036229fe75b61a8310e112b2ca147c2e_7_5","1"
"036229fe75b61a8310e112b2ca147c2e_7_6","0"
"036229fe75b61a8310e112b2ca147c2e_8_1","1"
"036229fe75b61a8310e112b2ca147c2e_8_4","0"
"036229fe75b61a8310e112b2ca147c2e_9_1","1"
"037cb72abcd5e13b2cab5414f63b5967_14_7","0"
"037cb72abcd5e13b2cab5414f63b5967_2_1","0"
"039301ae48f7d184e98085f272c83b82_1_4","0"
"039301ae48f7d184e98085f272c83b82_1_6","0"
"039301ae48f7d184e98085f272c83b82_4_2","0"
"039301ae48f7d184e98085f272c83b82_4_4","0"
"0401c1be16767993b6cce37f508967ed_4_1","0"
"0401c1be16767993b6cce37f508967ed_8_2","0"
"0422f7d5f28aec271dc10307cdc5ad53_14_7","0"
"0422f7d5f28aec271dc10307cdc5ad53_3_1","0"
"04278ca7471434aae70fe190fff340a8_2_1","0"
"04278ca7471434aae70fe190fff340a8_2_6","0"
"042917ed54e9992d52c8230db157a343_14_5","0"
"042917ed54e9992d52c8230db157a343_14_6","0"
"04c14f33995a96ef47b3ecd6e648e8ee_3_3","0"
"051ddc25443590dc092826c64ba9e801_8_4","0"
"051ddc25443590dc092826c64ba9e801_8_5","0"
"051f200b1abbe58f944015cf2010cbcc_1_1","0"
"051f200b1abbe58f944015cf2010cbcc_2_1","0"
"051f200b1abbe58f944015cf2010cbcc_2_2","0"
"0582a8a2b674d39f6984a73a5cd74470_11_6","0"
"0582a8a2b674d39f6984a73a5cd74470_11_7","0"
"0582a8a2b674d39f6984a73a5cd74470_14_18","0"
"0582a8a2b674d39f6984a73a5cd74470_4_2","0"
"0582a8a2b674d39f6984a73a5cd74470_5_11","0"
"0582a8a2b674d39f6984a73a5cd74470_5_12","0"
"0582a8a2b674d39f6984a73a5cd74470_5_14","0"
"0582a8a2b674d39f6984a73a5cd74470_5_15","0"
"0582a8a2b674d39f6984a73a5cd74470_5_16","0"
"0582a8a2b674d39f6984a73a5cd74470_5_19","0"
"0582a8a2b674d39f6984a73a5cd74470_5_2","0"
"0582a8a2b674d39f6984a73a5cd74470_5_5","0"
"0582a8a2b674d39f6984a73a5cd74470_5_7","0"
"0582a8a2b674d39f6984a73a5cd74470_8_1","0"
"0582a8a2b674d39f6984a73a5cd74470_8_13","0"
"0582a8a2b674d39f6984a73a5cd74470_8_5","0"
"0582a8a2b674d39f6984a73a5cd74470_8_9","0"
"05941394bec3373a4dd5aead975cc145_11_2","0"
"05941394bec3373a4dd5aead975cc145_11_3","0"
"05941394bec3373a4dd5aead975cc145_11_4","0"
"05941394bec3373a4dd5aead975cc145_5_7","0"
"05941394bec3373a4dd5aead975cc145_8_7","0"
"066678f6e8a8017a71b0d8d204e0a299_1_2","0"
"066678f6e8a8017a71b0d8d204e0a299_1_4","0"
"066678f6e8a8017a71b0d8d204e0a299_4_1","0"
"066678f6e8a8017a71b0d8d204e0a299_5_1","0"
"066678f6e8a8017a71b0d8d204e0a299_5_2","0"
"07c78ed6f9a368d0d3d0529dc52542d5_5_1","0"
"090fbe0a2fa8eee3518f0828b25b6771_11_4","0"
"091e1715590612a08e37d7581f9627ab_1_1","0"
"091e1715590612a08e37d7581f9627ab_4_1","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_14_11","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_14_18","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_14_6","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_15_10","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_15_2","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_5_11","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_5_2","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_5_8","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_5_9","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_9_2","0"
"094c5f0a89c6c63335ed5ae69e58e8ba_9_3","0"
"09d20d803bb0f86e80e305a338f93d1f_1_10","0"
"09d20d803bb0f86e80e305a338f93d1f_1_11","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_11_12","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_11_13","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_11_21","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_11_4","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_11_7","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_2_3","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_2_4","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_2_5","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_2_6","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_4_1","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_4_2","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_4_3","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_4_4","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_4_5","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_4_6","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_7_4","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_7_5","0"
"0bd1c6dd1000d749ae4929bc4f02cd6c_8_14","0"
"0bed703176b47e5b7013d156d94462c5_14_2","0"
"0bed703176b47e5b7013d156d94462c5_14_7","0"
"0bed703176b47e5b7013d156d94462c5_5_2","0"
"0dd31cbea2a00434bf3554cf92617531_10_3","0"
"0dd31cbea2a00434bf3554cf92617531_14_2","0"
"0e211ef815aeaafa02d02fc100e8eb36_2_3","0"
"0e211ef815aeaafa02d02fc100e8eb36_5_1","0"
"0f3071d2d1749dd0820076a9d9f8041c_4_1","0"
"0f3071d2d1749dd0820076a9d9f8041c_4_7","0"
"0f3071d2d1749dd0820076a9d9f8041c_5_3","0"
"0f3758a16d641c93eca6823476e9e8e7_11_2","0"
"0f3758a16d641c93eca6823476e9e8e7_11_25","0"
"0f3758a16d641c93eca6823476e9e8e7_11_35","0"
"0f3758a16d641c93eca6823476e9e8e7_11_9","0"
"0f3758a16d641c93eca6823476e9e8e7_2_1","0"
"0f3758a16d641c93eca6823476e9e8e7_2_4","0"
"0f3758a16d641c93eca6823476e9e8e7_4_10","0"
"0f3758a16d641c93eca6823476e9e8e7_4_2","0"
"0f3758a16d641c93eca6823476e9e8e7_4_9","0"
"0f3758a16d641c93eca6823476e9e8e7_5_1","0"
"0f3758a16d641c93eca6823476e9e8e7_7_16","0"
"0f3758a16d641c93eca6823476e9e8e7_7_4","0"
"108a41567a81e5503ba247cb0d23feb8_5_1","0"
"108a41567a81e5503ba247cb0d23feb8_9_1","0"
"10f88ad5e34c08d30aa36669a959336d_4_2","0"
"11853f45bb55748fb0de2c6268e7772c_14_1","1"
"11853f45bb55748fb0de2c6268e7772c_14_13","0"
"11853f45bb55748fb0de2c6268e7772c_14_19","0"
"11c15c61d2f560d683f17c957a401204_4_1","0"
"11c15c61d2f560d683f17c957a401204_5_4","0"
"11c15c61d2f560d683f17c957a401204_5_5","0"
"14afbe755eece177169f6ed9ec7f47ac_14_5","0"
"14afbe755eece177169f6ed9ec7f47ac_14_7","0"
"14afbe755eece177169f6ed9ec7f47ac_7_3","0"
"14afbe755eece177169f6ed9ec7f47ac_7_4","0"
"14e75a826cdc3fdd4681d931df7f2cb1_11_8","0"
"14e75a826cdc3fdd4681d931df7f2cb1_15_1","1"
"14e75a826cdc3fdd4681d931df7f2cb1_15_2","1"
"14e75a826cdc3fdd4681d931df7f2cb1_6_2","0"
"14e75a826cdc3fdd4681d931df7f2cb1_7_1","0"
"14ee173ca0c0006f5f6f049b633272f0_0_1","0"
"14ee173ca0c0006f5f6f049b633272f0_0_3","0"
